"TID","Comment","EN","JP","KR","FR","DE"
"TID_CHAT_NOTIFICATIONS_OFF",,"Chat notifications off","チャット通知オフ","채팅 알림 끔","Notifications de chat désactivées","Chatbenachr.: Aus"
"TID_CHAT_NOTIFICATIONS_MENTION",,"Notify only @mention","自分宛て（@）のチャットのみ通知","언급(@)되었을 때만 알림","Notifications uniquement pour les @mentions","Nur bei Erwähnung ben."
"TID_CHAT_NOTIFICATIONS_ON",,"Notify all chat messages","すべてのチャットを通知","모든 채팅 메시지 알림","Notifications pour tous les messages de chat","Bei allen Chatnachr. ben."
"TID_CHAT_PREVIEW_ON",,"Chat preview on","チャットのプレビューを表示","채팅 미리보기 켜기","Aperçu de chat activé","Chatvorschau: An"
"TID_CHAT_PREVIEW_OFF",,"Chat preview off","チャットのプレビューを表示しない","채팅 미리보기 끄기","Aperçu de chat désactivé","Chatvorschau: Aus"
"TID_EVENT_VALLEY_PRODUCTION_READY",,"Collect <resource> at <building>","<building>で<resource>を回収しましょう","<building>에서 <resource> 모으기","<resource> : récupérez dans votre <building>.","<resource> in <building> einsammeln"
"TID_EVENT_GUILD_TRAINING_READY",,"Villager trained at <building>","<building>で村人の訓練が完了しました","<building>에서 마을 주민 훈련","Villageois formé dans votre <building>.","Dorfbewohner in <building> trainiert"
"TID_EVENT_VALLEY_CRAFTING_READY",,"Collect <resource> at <building>","<building>で<resource>を回収しましょう","<building>에서 <resource> 모으기","<resource> : récupérez dans votre <building>.","<resource> in <building> einsammeln"
"TID_VILLAGE_SLOT_EDIT_TITLE",,"Space <slot> Preferences","第<slot>区画の設定","<slot> 공간 설정","Préférences emplacement <slot>","<slot> Präferenzen platzieren"
"TID_VILLAGE_SLOT_TITLE",,"Village Place <slot>","村の第<slot>区画","마을 위치 <slot>","Place <slot> du village","Dorfplatz <slot>"
"TID_VILLAGE_SLOT_STATUS_OPEN",,"Anyone can join","誰でも参加可能","누구나 가입 가능","Tout le monde peut rejoindre","Jeder kann beitreten"
"TID_VILLAGE_SLOT_STATUS_LOCKED",,"Joinable only with code","コードでのみ参加可能","코드로만 가입 가능","Rejoindre avec code","Beitritt nur mit Code ..."
"TID_VILLAGE_SLOT_MESSAGE_NO_PERMISSION",,"Only leader can lock village place","村の区画をロックできるのはリーダーのみです","대표만 마을 위치를 고정할 수 있습니다.","Seul le chef peut réserver une place du village.","Nur Anführer können Dorfplatz sperren"
"TID_VILLAGE_SLOT_NEEDS_CODE",,"Generate code first","先にコードを生成してください","먼저 코드 생성","Générer d'abord un code","Zuerst Code generieren"
"TID_VILLAGE_SLOT_CODE_SUBTITLE",,"Invite code:","招待コード：","초대 코드:","Code d'invitation :","Einladungscode:"
"TID_LOADING_PREDICTIONS",,"Estimating<animatingdots>","予測中<animatingdots>","<animatingdots> 예측 중","Estimation<animatingdots>","Geschätzt: <animatingdots>"
"TID_CHALLENGE_SHIPWRECK",,"Shipwreck!","難破船","난파!","Naufrage","Schiffswrack!"
"TID_CHALLENGE_SHIPWRECK_INTRO",,"Oh dear... a ship ran aground in the harbor! Could you help those salty sailors return to sea?","大変よ... 港で船が座礁してしまったの。一緒に船乗りたちを家に帰してあげましょう！","이런... 배가 항구에서 좌초됐습니다! 선원들이 바다로 돌아갈 수 있도록 도와주시겠어요?","Malheur... Un navire s'est échoué dans le port ! Pouvez-vous aider les marins à repartir ?","Oh je ... Ein Schiff ist im Hafen auf Grund gelaufen! Könntest du diesen wetterfesten Matrosen wieder auf die hohe See verhelfen?"
"TID_CHALLENGE_SHIPWRECK_1",,"What a beautiful ship! Too bad the hull is cracked. Or should I say, destroyed? Let's fix that first!","それにしても立派な船ね。本当に残念だわ。浸水どころか決壊してるものね... まずは、船体を修理しましょうか。","정말 아름다운 배군요! 선체가 금이... 아니 파손되어서 안타깝네요. 먼저 선체를 수리할까요?","Quel navire magnifique ! Mais ce trou dans la coque est inquiétant. Commençons par réparer ça !","Was für ein wunderschönes Schiff! Schade, dass der Rumpf Risse hat. Oder sollte ich sagen: „zerstört ist“? Reparieren wir das erstmal!"
"TID_CHALLENGE_SHIPWRECK_2",,"You made it float! Of all the important features of a boat, that's a big one. Why don't we attach some new sails?","船が水に浮かんだわよ！何はさておき、浮いてくれなきゃ始まらないものね。次は、新しい帆を付けましょうか？","이제 배가 물에 뜰 수 있어요! 가장 중요한 부분이죠. 새로운 돛을 달아볼까요?","Il flotte ! Voilà déjà une bonne chose de faite ! Passons maintenant aux voiles.","Dank dir schwimmt es wieder! Das ist unter all den wichtigen Eigenschaften eines Schiffs ganz vorne mit dabei! Warum bringen wir nicht ein paar neue Segel an?"
"TID_CHALLENGE_SHIPWRECK_3",,"The crew already went through their rations. Apparently sailors are hungry. Let's make them some grub for their journey back.","ねえ、船乗りたちがお腹を空かせてるみたい。食糧が底をついてしまったのね。そうとなれば、帰り道に栄養不足にならないよう、食事を用意してあげなくちゃ！","선원들이 휴대용 식량을 모두 먹어버렸어요. 지금 배가 많이 고프다고 하네요. 돌아가는 길에 먹을 수 있도록 음식을 준비해 줄까요?","Ces marins ont un appétit digne d'une Tortupentue ! Ils ont déjà fini leurs rations. Préparons-leur un petit quelque chose pour le voyage du retour.","Die Crew hat ihre Rationen bereits aufgebraucht. Seeleute verdrücken echt eine Menge. Machen wir ihnen was zu Mampfen für den Rückweg."
"TID_CHALLENGE_SHIPWRECK_WIN",,"You did it! The crew is ready to set sail - they even left you a gift. Congratulations, you honorary salty dog!","これで船乗りたちも安心して出発できるわ！感謝の印にプレゼントもくれみたい。海の男って粋よね！","해냈어요! 선원들이 출항 준비를 마쳤어요. 감사의 의미로 선물을 남겼습니다. 축하합니다!","Vous avez réussi ! L'équipage est prêt à mettre les voiles. Et ils vous ont fait un cadeau ! Félicitations !","Du hast es geschafft! Die Crew ist bereit, die Segel zu setzen – sie haben dir sogar ein Geschenk dagelassen! Glückwunsch, du ehrenhafter salziger Hund!"
"TID_CHALLENGE_SHIPWRECK_LOSE",,"Uh oh. Looks like the ship is stuck aground. These sailors are about to get ornery. If they ask for me, tell them I sailed to another harbor.","マズいわ... 船を修理できそうにないの。船乗りたちもイラついてるみたい。ねえ、何か聞かれたら、私は別の港に異動したことにしておいてね。","이런, 배를 수리하지 못한 것 같군요. 선원들이 화가 많이 난 것 같네요. 저를 찾으면 다른 항구로 떠났다고 말해주세요!","Oh, non, le navire s'est échoué sur la berge ! Les marins ne vont pas être contents. S'ils me cherchent, dites-leur que je suis déjà en route vers les Îles glacières.","Oh oh. Sieht aus, als sei das Schiff auf Grund gelaufen. Diese Seeleute werden bald störrisch. Wenn sie nach mir fragen, sag ihnen, ich sei in einen anderen Hafen gesegelt."
"TID_CHALLENGE_VALLEYFEAST",,"Valley Feast","エバーバレーのご馳走","에버밸리 파티","Festin de la vallée","Talfest"
"TID_CHALLENGE_VALLEYFEAST_INTRO",,"I travel the world looking for the best food and the Valley is looking like a top contender! Help me put together a feast to remember and you´ll really be on the map!","最高の味を求めて世界中を旅してきたけど、エバーバレーの食べ物は格別だわ！思い出にご馳走を作りたいんだけど、手伝ってくれない？みんなにも振る舞ってあげれば、絶対に話題になるわよ！","최고의 맛을 찾아 전 세계를 여행했지만, 에버밸리의 음식은 정말 뛰어나네요! 진수성찬의 파티를 열고 싶은데 도와주시겠어요? 당신의 도움이 정말 중요해요!","Je parcours les mers à la recherche de la gastronomie qui me fera chavirer. Votre vallée m'a l'air prometteuse ! Et si vous m'aidiez à préparer un repas montrant tous ses délices ?","Ich bereise die Welt auf der Suche nach dem besten Essen und es sieht so aus, als sei das Tal ganz oben auf der Liste. Hilf mir dabei, ein Fest auszurichten, an das man sich noch lange erinnert, und du wirst zur Legende!"
"TID_CHALLENGE_VALLEYFEAST_1",,"Make us an appetizer to delight us all!","まずは、前菜を作っておもてなししましょう！","먼저 모두를 만족시킬 애피타이저부터 만들어 보죠!","Commençons par une entrée pour réveiller nos papilles !","Mach uns doch mit ein paar Appetithäppchen eine Freude!"
"TID_CHALLENGE_VALLEYFEAST_2",,"I love it! With the fresh water and pure air of the Valley, everything grows perfectly. This Main Course will be magnificent!","うーん、美味しい！きっと、エバーバレーの綺麗な水と新鮮な空気が良質な作物を育てるのね。メインディッシュもスゴいのを作るんだから！","좋아요! 에버밸리의 신선한 물과 맑은 공기 덕분에 모든 재료들이 정말 완벽하네요. 메인 코스도 엄청날 거예요!","J'ai a-do-ré. L'eau de source et l'air pur de la vallée permettent de cultiver des produits d'une qualité incroyable. J'ai hâte de voir le plat principal !","Ich liebe es! Mit dem frischen Wasser und der reinen Luft im Tal gedeiht auch alles prächtig. Der Hauptgang wird fantastisch!"
"TID_CHALLENGE_VALLEYFEAST_3",,"Now for the final step... and if you´re like me, the one you´ve been waiting for most of all: dessert!","次が最後の一品ね... 皆さんお待ちかねのデザートよ！","이제 마지막이네요... 제 맘과 같다면 아마 이 순간만을 기다려왔을 거예요. 달콤한 디저트!","Et maintenant, le moment du repas que je préfère : le dessert !","Und nun der letzte Gang ... auf den ihr, wenn ihr wie ich seid, sicher am sehnlichsten gewartet habt: der Nachtisch!"
"TID_CHALLENGE_VALLEYFEAST_WIN",,"That... was... amazing! The culinary world will be talking about this for a long time to come. Thank you, friend!","もう... 言葉にならないくらい美味しかった。今回のフルコースはグルメ界の功績として、末永く語り継がれるでしょうね。本当にありがとう！","와... 이건 정말... 환상적인 맛이었어요! 이번 음식들은 요리계에서 두고두고 회자될만하네요. 고마워요, 친구!","C'était... du grand art ! Le monde culinaire ne va parler que de ça, vous allez voir. Un grand merci, cher ami !","Das ... war ... wunderbar! In der kulinarischen Welt wird man darüber noch lange Zeit sprechen. Danke, mein Freund!"
"TID_CHALLENGE_VALLEYFEAST_LOSE",,"There seems to be something missing here. Where is the FOOD!?","肝心な物が足りないわね... 食べ物は一体どこにあるの！？","뭔가 빠진 것 같은데... 음식들은 다 어디 있죠?","On dirait qu'il manque quelque chose... Où est la nourriture ?","Es scheint etwas zu fehlen. Wo ist das ESSEN!?"
"TID_RENT_A_WORKER_INFO",,"Hire <NAME> for <DURATION> to help you with your village tasks.","<NAME>を雇えば、村のタスクを<DURATION>手伝ってくれます。","<DURATION> 동안 <NAME> 일꾼을 고용해 마을 작업에 도움을 받으세요.","Embauchez <NAME> pendant <DURATION> pour vous aider avec les tâches du village.","Rekrutiere <NAME> für <DURATION>, um dir bei den Aufgaben im Dorf zu helfen."
"TID_SUCCESSFULY_RENTED_WORKER",,"<NAME> is here to help you out!","<NAME>が手伝いに来ました！","<NAME> 일꾼이 도와주러 왔습니다!","<NAME> est là pour vous aider.","<NAME> ist hier, um dir zu helfen!"
"TID_SUCCESSFULY_EXTENDED_RENTED_WORKER",,"Extended <NAME>´s rental time!","<NAME>の雇用期間を延長しました！","<NAME>의 고용 시간이 연장되었습니다!","Vous avez allongé la durée d'embauche pour <NAME>.","Leihphase für <NAME> verlängert!"
"TID_WORKER_REMOVED_FROM_VILLAGE",,"<NAME> left the village","<NAME>が村を去りました","<NAME> 일꾼이 마을을 떠났어요!","<NAME> a quitté le village.","<NAME> hat das Dorf verlassen"
"TID_HIRED_VILLAGER_INFO_TITLE",,"Hired Worker","ヘルパー","일꾼 고용","Ouvrier embauché","Leiharbeitskraft"
"TID_HIRED_VILLAGER_INFO_DESCRIPTION",,"Franz works on village-only tasks until his employment period ends.","フランツは雇用期間が終わるまで、村のタスクを手伝ってくれます。","프란츠는 고용 기간 종료까지 마을 작업만을 전담합니다.","Franz effectue uniquement des tâches du village, et ce, jusqu'à ce que sa durée d'embauche touche à sa fin.","Franz arbeitet bis seine Anstellungsphase endet ausschließlich an Dorfaufgaben."
"TID_HIRED_VILLAGER_OUT_OF_TIME",,"Franz Time Expired","フランツの雇用期間終了","프란츠 시간 만료","Fin du travail de Franz","Franz‘ Zeit abgelaufen"
"TID_HIRED_VILLAGER_CANT_ASSIGN_ERROR_OUT_OF_TIME",,"<worker>´s rental period has ended","<worker>の雇用期間が終了しました","<worker>의 고용 기간 종료","La durée d'embauche pour <worker> est terminée.","Leihphase für <worker> zu Ende"
"TID_WORKER_GENERALIST",,"Franz the Fixer","修理屋のフランツ","해결사 프란츠","Franz le bricoleur","Franz der Allesretter"
"TID_WORKER_GENERALIST_INFO",,"Franz can do anything. He's been a sailor. A miner. A lumberjack. A potter. A sandwich artist? An underwater basket weaver? You name it, Franz can do it. ","フランツの経歴は実に多彩です。船員、炭坑作業員、木こり、陶器職人などはもちろんのこと、猿回しやサンドイッチ職人に至るまで幅広い経験を持っています。どんな作業でもそつなくこなしてくれるでしょう。","프란츠는 다양한 일을 해왔습니다. 선원, 광부, 나무꾼, 도예가, 샌드위치 아티스트? 원숭이 조련사까지? 말만 하세요. 프란츠가 못하는 일은 없답니다!","Franz est un ancien marin, et mineur, et bûcheron, et céramiste. Il fait aussi de super sandwichs. Et il adore les animaux. En gros, si vous avez quelque chose à lui confier, il le fera. Et il le fera bien.","Franz hat schon als Seemann gearbeitet. Als Bergmann. Als Holzfäller. Als Töpfer. Als Sandwich-Artist? Als Affentrainer? Er hat schon alles gemacht, was du dir vorstellen kannst. Er kann einfach alles."
"TID_WORKER_EMPLOYMENTS_ENDS_IN",,"Employment ends in: <time>","雇用期間の終了まで：<time>","고용 종료까지: <time>","Fin d'embauche dans : <time>","Anstellung endet in: <time>"
"TID_RENTED_WORKER_SPECIALTY",,"<spc> (level <level>, +<boost>%)","<spc>（レベル<level>、+<boost>％）","<spc> (<level>레벨, +<boost>%)","<spc> (niveau <level>, +<boost> %)","<spc> (Level <level>, +<boost> %)"
"TID_TRADE_PARTNER_COINS_BASIC",,"Summery Woods","常夏の森","서머리 우즈","Le Bois Ensoleillé","Sommerwald"
"TID_TRADE_PARTNER_COINS_BASIC_INFO",,"These speedy traders are the fastest sailors around. Bartering for basics, they reward coins for just the right goods.","この旅商人は、高速の船で世界中を飛び回っています。お目当てのものがあれば、コインと交換してくれるでしょう。","서머리 우즈의 상인들은 가장 재빠른 뱃사람들입니다. 기본적인 물물교환을 하며 최상급의 물품에는 코인으로 보상합니다.","Les marchands du bois sont les marins les plus aguerris des mers. À la recherche de marchandises précises, ils paient avec des pièces.","Diese aufgeweckten Händler sind die schnellsten Segler weit und breit. Sie sind auf der Suche nach einfachen Dingen und zahlen für die richtigen Waren in Münzen."
"TID_TRADE_PARTNER_KNOWLEDGE_BASIC",,"Highland Academy","グランドアカデミー","하이랜드 아카데미","L'Académie de Haut-Vent","Hochlandakademie"
"TID_TRADE_PARTNER_KNOWLEDGE_BASIC_INFO",,"The brainy Highland Academy brings knowledge from far and wide. Trade with them to receive rare books, items of immense value.","由緒あるグランドアカデミーから幅広い知識を届けてくれます。トレードを行えば、貴重な本や高価なアイテムが手に入るでしょう。","똑똑한 하이랜드 아카데미는 아주 멀리서 다양한 지식을 가지고 옵니다. 이들과 거래해 엄청난 가치를 지닌 희귀한 책을 받으세요.","L'Académie de Haut-Vent est le sanctuaire de la connaissance. Commercez avec elle pour obtenir des livres rares et des objets précieux.","Die renommierte Hochlandakademie vermittelt Wissen von Nah und Fern. Treibe Handel mit ihr, um seltene Bücher von immensem Wert zu erhalten."
"TID_TRADE_RELATION_CONFIRM_CHANGE_TITLE",,"Confirm trade partner change","貿易相手を変更する","무역 파트너 변경 확인","Confirmer le changement de partenaire commercial","Wechsel v. Handelspartner bestätigen"
"TID_TRADE_RELATION_CONFIRM_CHANGE_TEXT",,"Upcoming ships to this dock will be from <PARTNER>","次はこの桟橋に<PARTNER>の船が到着します","다음부터 이 부두에는 <PARTNER>의 선박이 도착합니다.","Les prochains navires pour ce quai viendront de : <PARTNER>.","An diesem Dock ankernde Schiffe werden von <PARTNER> sein"
"TID_TRADE_RELATION_CONFIRM_BUY_TITLE",,"Confirm summon ship","船を呼び寄せる","호출 선박 확인","Confirmer l'appel du navire","Schiff rufen bestätigen"
"TID_TRADE_RELATION_CONFIRM_BUY_TEXT",,"A grand ship from <PARTNER> will arrive","<PARTNER>からプレミア船がやって来ます","<PARTNER>의 프리미엄 선박이 도착합니다.","Un grand navire va arriver en provenance de : <PARTNER>.","Ein Großes Schiff von <PARTNER> ist auf dem Weg"
"TID_TRADE_RELATION_CONFIRM_BUTTON",,"Okay","OK","확인","OK","Okay"
"TID_SURVEY_CONFIRMATION_TITLE",,"Help us improve Everdale!","エバーデールの改善にご協力ください！","에버데일 개선에 도움을 주세요!","Aidez-nous à améliorer Everdale !","Hilf uns,Everdale zu verbessern!"
"TID_SURVEY_CONFIRMATION_TEXT",,"Help us develop Everdale by taking a short survey.","サービス向上のため、簡単なアンケートにご回答ください。","간단한 설문 조사에 참여해 에버데일 개발에 도움을 주세요.","Aidez-nous à améliorer Everdale en prenant quelques minutes pour répondre à notre questionnaire.","Hilf uns bei der Entwicklung von Everdale, indem du diese kurze Umfrage ausfüllst."
"TID_SURVEY_THANKS_TITLE",,"Survey Completed","アンケート回答完了","설문 조사 완료","Questionnaire terminé","Umfrage ausgefüllt"
"TID_SURVEY_THANKS",,"Thank you for participating in the survey!","アンケートにご協力いただきありがとうございます！","설문 조사에 참여해주셔서 감사합니다.","Merci beaucoup d'avoir répondu à notre questionnaire !","Danke für deine Teilnahme an der Umfrage!"
"TID_SURVEY_BUTTON_TEXT",,"Let's do it!","回答する","참여할게요","C'est parti !","Legen wir los!"
"TID_SURVEY_BUTTON_NO_THANKS",,"No thanks","回答しない","내키지 않아요","Non, merci","Nein, danke!"
"TID_DECO_GARDEN_FENCES",,"Balustrade","手すり","난간","Balustrade","Balustrade"
"TID_DECO_GARDEN_FOUNTAIN",,"Tranquil Fountain","静かな噴水","고요한 분수","Fontaine relaxante","Idyllischer Brunnen"
"TID_DECO_GARDEN_BRIGDE",,"Scenic Bridge","風情ある橋","경치 좋은 다리","Pont idyllique","Malerische Brücke"
"TID_DECO_GARDEN_TREE",,"Pointy Tree","尖った木","뾰족한 나무","Arbre pointu","Spitzer Baum"
"TID_DECO_GARDEN_POTTEDFLOWERS",,"Flower Pot","花瓶","화분","Pot de fleurs","Blumentopf"
"TID_DECO_GARDEN_HEDGELONG",,"Long Hedge","長い茂み","긴 덤불","Long buisson","Lange Hecke"
"TID_DECO_GARDEN_HEDGE",,"Short Hedge","短い茂み","짧은 덤불","Petit buisson","Kurze Hecke"
"TID_DECO_GARDEN_LAMP",,"Lantern","ランタン","랜턴","Lanterne","Laterne"
"TID_DECO_GARDEN_ARCHE",,"Ivy Arch","ツタのアーチ","담쟁이덩굴 아치","Arche de lierre","Efeubewachsener Bogen"
"TID_DECO_GARDEN_PLANTEDFLOWERSBIG_RED",,"Purple Flowers","紫の花","보라색 꽃","Fleurs violettes","Lila Blumen"
"TID_DECO_GARDEN_PLANTEDFLOWERSBIG_WHITE",,"White Flowers","白い花","하얀색 꽃","Fleurs blanches","Weiße Blumen"
"TID_DECO_GARDEN_PLANTEDFLOWERSBIG_YELLOW",,"Yellow Flowers","黄色い花","노란색 꽃","Fleurs jaunes","Gelbe Blumen"
"TID_DECO_GARDEN_PLANTEDFLOWERSMALL",,"White Flower Planter","白い花の花壇","하얀색 화단","Jardinière de fleurs blanches","Weißer Blumentopf"
"TID_DECO_GARDEN_TILES_1",,"Fancy Rust Tile","紫色の洒落たタイル","세련된 러스트 타일","Chemin cuivré","Schicke Rostfliese"
"TID_DECO_GARDEN_TILES_2",,"Plain Rust Tile","紫色のタイル","기본 러스트 타일","Chemin cuivré simple","Einfache Rostfliese"
"TID_DECO_GARDEN_TILES_3",,"Plain Creme Tile","灰色のタイル","기본 크림 타일","Chemin crème simple","Einfache Creme-Fliese"
"TID_DECO_GARDEN_TILES_4",,"Fancy Creme Tile","灰色の洒落たタイル","세련된 크림 타일","Chemin crème","Schicke Creme-Fliese"
"TID_DECO_GARDEN_TILES_5",,"Stone Path","石の道","돌길","Chemin de pierres","Steinpfad"
"TID_DECO_FARMER_WELL",,"Well","井戸","우물","Puits","Brunnen"
"TID_DECO_FARMER_SUNFLOWERS",,"Sunflowers","ヒマワリ","해바라기","Tournesols","Sonnenblumen"
"TID_DECO_FARMER_HAYSTACK",,"Haystack","干し草の四角い束","건초 더미","Meule de foin","Heuhaufen"
"TID_DECO_FARMER_HAYROUNDED",,"Hay Bale","干し草の丸い束","건초 꾸러미","Botte de foin","Heuballen"
"TID_DECO_FARMER_FLOWERCART",,"Flower Cart","花の手押し車","꽃수레","Charette florale","Blumenkarren"
"TID_DECO_FARMER_TOOLSTORAGE",,"Tool Box","道具箱","도구 상자","Boîte à outils","Werkzeugkasten"
"TID_DECO_FARMER_SCARECROW",,"Scarecrow","カカシ","허수아비","Épouvantail","Vogelscheuche"
"TID_DECO_FARMER_WOODTILES",,"Wooden Pathway","木の通路","나무 길","Chemin en bois","Holzpfad"
"TID_DECO_FARMER_WOODFENCE_GATE",,"Wooden Gate","木のゲート","나무 문","Portail en bois","Holztor"
"TID_DECO_FARMER_HAYSTACK_CART",,"Hay Cart","干し草の手押し車","건초 수레","Charette de foin","Heuwagen"
"TID_DECO_FARMER_WOODFENCE",,"Wooden Fence","木のフェンス","나무 울타리","Clôture en bois","Holzzaun"
"TID_DECO_FARMER_DRINKSTATION",,"Trough","飼い葉桶","여물통","Abreuvoir","Tränke"
"TID_DECO_VILLAGER_LAMP",,"Lamp","外灯","램프","Lampe","Lampe"
"TID_DECO_VILLAGER_STATUE",,"Illustrious Llama Statue","名高いラマの像","라마 조각상","Statue de l'illustre lama","Glorreiche Lamastatue"
"TID_DECO_VILLAGER_STONETILE",,"Stone Path","石の道","돌길","Chemin de pierres","Steinpfad"
"TID_DECO_VILLAGER_BENCH",,"Bench","ベンチ","벤치","Banc","Bank"
"TID_DECO_VILLAGER_SIGN",,"Sunshine Sign","太陽の看板","햇살 간판","Panneau soleil","Sonnenscheinschild"
"TID_DECO_VILLAGER_STONEWALL",,"Stone Wall","石の壁","돌담","Mur en pierre","Steinmauer"
"TID_DECO_VILLAGER_MAILBOX",,"Mailbox","郵便受け","우편함","Boîte aux lettres","Postkasten"
"TID_DECO_VILLAGER_BARREL",,"Barrel","樽","나무통","Tonneau","Fass"
"TID_DECO_CAMPERS_TABLES",,"Picnic Table","ピクニックテーブル","피크닉 테이블","Table de pique-nique","Picknicktisch"
"TID_DECO_CAMPERS_STUMP",,"Tree Stump","切り株","그루터기","Vieille souche","Baumstumpf"
"TID_DECO_CAMPERS_FISHING_POND",,"Pond","池","연못","Étang","Teich"
"TID_DECO_CAMPERS_FENCE",,"Log Fence","丸太のフェンス","통나무 울타리","Clôture de bûches","Balkenzaun"
"TID_DECO_CAMPERS_BOX",,"Crate","木箱","상자","Caisse","Kiste"
"TID_DECO_CAMPERS_CAMPFIRE",,"Campfire","キャンプファイヤー","모닥불","Feu de camp","Lagerfeuer"
"TID_DECO_CAMPERS_TENT",,"Tent","テント","텐트","Tente","Zelt"
"TID_DECO_CAMPERS_GRASS",,"Grass","芝生","잔디","Herbe","Gras"
"TID_DECO_CAMPERS_FLOWER_PINK",,"Pink Flowers","ピンクの花","분홍색 꽃","Fleurs roses","Rosa Blumen"
"TID_DECO_CAMPERS_FLOWER_YELLOW",,"Yellow Flowers","黄色い花","노란색 꽃","Fleurs jaunes","Gelbe Blumen"
"TID_DECO_CAMPERS_FLOWER_WHITE",,"White Flowers","白い花","하얀색 꽃","Fleurs blanches","Weiße Blumen"
"TID_DECO_CAMPERS_CLOTHESLINE",,"Washing Line","物干しロープ","빨랫줄","Corde à linge","Wäscheleine"
"TID_DECO_FESTIVAL_POTTEDFLOWERS",,"Good Time Flower Pot","大きな花鉢","화사한 꽃 화분","Pot de fleur sympathique","Gute-Laune-Blumentopf"
"TID_DECO_FESTIVAL_STAGE",,"The Main Stage","舞台","메인 무대","Grande scène","Die Hauptbühne"
"TID_DECO_FESTIVAL_TENT",,"Dance Tent","ダンスホールのテント","댄스 텐트","Tonnelle","Tanzzelt"
"TID_DECO_FESTIVAL_BALLOONS",,"Bunch o' Balloons","風船の束","풍선 다발","Ballons","Ein Haufen Ballons"
"TID_DECO_FESTIVAL_FENCE",,"Rope Fence","縄のフェンス","밧줄 울타리","Clôture de corde","Seilzaun"
"TID_DECO_FESTIVAL_LAMP",,"Flaggy Lamps","旗を吊るした外灯","깃발 가로등","Lampes décoratives","Mosaiklampen"
"TID_DECO_FESTIVAL_CRATESET",,"Decoration Crates","木箱一式","장식품 상자","Caisses décoratives","Schmuckkisten"
"TID_DECO_FESTIVAL_BREADSTAND",,"Late Night Bread Booth","パンの屋台","야간 빵집","Stand de fringale nocturne","Mitternachtssnack-Stand"
"TID_DECO_FESTIVAL_FEASTTABLE",,"Feast Table","パーティーテーブル","축제 테이블","Table de festin","Festtisch"
"TID_DECO_GARDEN_FENCES_INFO",,"Luxurious garden handrail.","豪華な庭の手すり","고급스러운 정원 난간입니다.","Rambarde de luxe.","Luxuriöses Gartengeländer"
"TID_DECO_GARDEN_FOUNTAIN_INFO",,"Ponder life's mysteries.","清流に耳を傾ければ、人生の奥深さが見えてきます。","졸졸 흐르는 물소리를 들으며 인생의 신비를 생각해 보세요.","Contient la réponse aux mystères de la vie.","Grüble über die Geheimnisse des Lebens nach."
"TID_DECO_GARDEN_BRIGDE_INFO",,"Go from here to there.","人と人を繋ぐ架け橋。","이쪽에서 저쪽으로 건너가세요.","Vous amène du point A au point B.","Gehe von hier nach dort."
"TID_DECO_GARDEN_TREE_INFO",,"It's pointy!","先端にはご注意を！","끝이 뾰족하지요!","Attention, c'est pointu !","Spitzenmäßig!"
"TID_DECO_GARDEN_POTTEDFLOWERS_INFO",,"Flowers kept nice and neat.","綺麗に植えられた花。","꽃이 예쁘고 깔끔하게 심어졌네요.","Des fleurs très bien entretenues.","Schöne und ordentliche Blumen."
"TID_DECO_GARDEN_HEDGELONG_INFO",,"A lengthy green bush.","長い緑の茂み。","긴 초록색 덤불입니다.","Un buisson vert plutôt long.","Ein üppiger grüner Busch."
"TID_DECO_GARDEN_HEDGE_INFO",,"A compact green bush.","短い緑の茂み。","짧은 초록색 덤불입니다.","Un buisson vert plutôt court.","Ein kompakter grüner Busch."
"TID_DECO_GARDEN_LAMP_INFO",,"Casts a comforting glow.","辺りを照らす心地よい光。","마음이 편안해지는 빛을 비춥니다.","Émet une lumière réconfortante.","Wirft ein beruhigendes Licht."
"TID_DECO_GARDEN_ARCHE_INFO",,"Walk under leaves.","アーチをくぐったその先に...","잎사귀 아래로 지나가 보세요.","Promenez-vous sous les feuilles.","Wandle unter Blättern."
"TID_DECO_GARDEN_PLANTEDFLOWERSBIG_RED_INFO",,"A square of purple flowers.","一面に広がる紫の花。","사각형 화단에 심어진 보라색 꽃들입니다.","Carré de fleurs violettes.","Ein lila Blumenkarree."
"TID_DECO_GARDEN_PLANTEDFLOWERSBIG_WHITE_INFO",,"A square of white flowers.","一面に広がる白い花。","사각형 화단에 심어진 하얀색 꽃들입니다.","Carré de fleurs blanches.","Ein weißes Blumenkarree."
"TID_DECO_GARDEN_PLANTEDFLOWERSBIG_YELLOW_INFO",,"A square of yellow flowers.","一面に広がる黄色い花。","사각형 화단에 심어진 노란색 꽃들입니다.","Carré de fleurs jaunes.","Ein gelbes Blumenkarree."
"TID_DECO_GARDEN_PLANTEDFLOWERSMALL_INFO",,"Cheerful white flowers.","かわいい白い花。","생기가 도는 하얀색 꽃입니다.","Fleurs blanches qui font plaisir à admirer.","Fröhliche weiße Blumen."
"TID_DECO_GARDEN_PLANTEDFLOWERSMALL_PINK",,"Pink Flower Planter","ピンクの花の花壇","분홍색 화단","Jardinière de fleurs roses","Rosa Blumentopf"
"TID_DECO_GARDEN_PLANTEDFLOWERSMALL_PINK_INFO",,"Pretty pink flowers.","かわいいピンクの花。","예쁜 분홍색 꽃들입니다.","De belles fleurs roses.","Hübsche rosa Blumen."
